Timestamp,What is your primary reason(s) for using AI?,On average how many minutes per day do you spend chatting with an AI? ,I feel like the AI I interact with has a distinct personality.,The AI adapts its tone and language to match my specific communication style.,I feel a moral obligation be polite or kind when messaging the AI.,"When the AI claims to understand my feelings, I perceive that sentiment as sincere.",I find the AI's responses to be more supportive than those of some people I know in real life.,I find it easier to express myself to an AI than in some face-to-face conversations.,I frequently lose track of time while engaged in a conversation with the AI.,I can rely on the AI as a safe space to discuss my personal problems.,I would feel a significant sense of loss if I could no longer access my preferred AI.,I view my ongoing interactions with the AI as a form of companionship.,What age range do you fall in?,Gender identity,Current Status,How would describe your usage of technology.,Which of the following platforms do you use,Which of these platforms do you use,Do you currently use any form of AI?,Usage Category,Archetypes ,,,,,,
5/7/2026 7:15:17,,,,,,,,,,,,,18-24,Male,Employed (Full-time),4,,,No,Non-AI User,Non-AI user,,,,,39,
5/7/2026 12:04:56,Study Help,15,1,1,1,1,1,1,1,1,1,1,18-24,Female,Student (Undergraduate),5,Claude,I do not use this form of AI,Yes,Work,Sole-Tool,,,,,12,
5/7/2026 17:22:25,"Homework, Study Help, Coding, Roleplay/Boredom",480,4,5,4,2,4,5,5,2,5,4,18-24,Female,Student (Undergraduate),4,Gemini,Chai,Yes,Hybrid,Skeptic,,,,,4,
5/7/2026 18:15:56,,,,,,,,,,,,,18-24,Non-binary,"Student (Undergraduate), Employed (Part-time)",4,,,No,Non-AI User,Non-AI user,,,,,,
5/7/2026 19:44:58,General Knowledge,15,3,5,2,3,3,2,1,3,3,3,18-24,Female,Employed (Full-time),4,Gemini,"Ex. Meta AI (Instagram, WhatsApp, Facebook), Grok (Twitter/X), or Snapchat My AI",Yes,Work,Intuitive,Count,Gender,Mean for Sense of Loss,,Age,Sense of Loss
5/7/2026 21:19:53,"Homework, Roleplay/Boredom",15,1,3,1,1,1,1,1,1,1,1,18-24,Male,"Student (Undergraduate), Employed (Part-time)",3,"ChatGPT, Claude, Perplexity","Ex. Meta AI (Instagram, WhatsApp, Facebook), Grok (Twitter/X), or Snapchat My AI",Yes,Hybrid,Sole-Tool,37,Female (n=37),3.216216216,,18-24 (n=39),3.128205128
5/7/2026 23:28:41,Study Help,120,4,4,3,3,4,3,4,4,4,4,18-24,Female,Student (Undergraduate),4,"ChatGPT, Gemini, Claude","Ex. Meta AI (Instagram, WhatsApp, Facebook), Grok (Twitter/X), or Snapchat My AI",Yes,Work,Empath,19,Male (n=19),2.473684211,,25-34 (n=12),2.583333333
5/8/2026 0:58:16,Roleplay/Boredom,5,1,2,2,1,1,1,1,1,1,1,35-44,Male,Employed (Full-time),4,"ChatGPT, Claude",I do not use this form of AI,Yes,Life,Sole-Tool,,,,,35-44 (n=4),2.25
5/8/2026 1:32:12,,,,,,,,,,,,,18-24,Male,"Student (Undergraduate), Employed (Part-time)",5,,,No,Non-AI User,Non-AI user,,,,,,
5/8/2026 2:12:13,"Coding, Work",30,1,3,1,1,1,2,1,1,2,1,25-34,Male,Employed (Full-time),5,Mistral LeChat,I do not use this form of AI,Yes,Work,Sole-Tool,,,,,,
5/8/2026 2:16:56,,,,,,,,,,,,,25-34,Male,Employed (Full-time),3,,,No,Non-AI User,Non-AI user,,,,,,
5/8/2026 3:13:57,"Study Help, Roleplay/Boredom",10,2,1,1,1,1,2,2,1,2,1,25-34,Male,Student (Undergraduate),5,Gemini,"Character.ai, Janitor AI",Yes,Hybrid,Sole-Tool,,,,,,
5/8/2026 4:01:19,,,,,,,,,,,,,25-34,Non-binary,Employed (Part-time),4,,,No,Non-AI User,Non-AI user,,,,,,
5/8/2026 5:26:06,"Homework, Study Help, Coding",60,3,3,4,3,1,3,2,1,3,1,18-24,Male,Student (Graduate/Post-grad),5,"ChatGPT, Gemini, Claude, Copilot",I do not use this form of AI,Yes,Work,Empath,,,,,,
5/8/2026 5:46:51,,,,,,,,,,,,,25-34,Female,Employed (Full-time),4,,,No,Non-AI User,Non-AI user,,,,,,
5/8/2026 5:47:09,,,,,,,,,,,,,25-34,Male,Employed (Full-time),4,,,No,Non-AI User,Non-AI user,,,,,,
5/8/2026 7:16:26,Work,5,1,3,1,1,1,1,1,1,1,1,25-34,Male,Employed (Full-time),4,Copilot,I do not use this form of AI,Yes,Work,Sole-Tool,,,,,,
5/8/2026 11:18:01,,,,,,,,,,,,,18-24,Non-binary,Not currently employed / other,3,,,No,Non-AI User,Non-AI user,,,,,,
5/8/2026 12:41:57,"Homework, Emotional Support",25,2,4,4,5,5,5,4,4,4,2,18-24,Female,Student (Graduate/Post-grad),4,ChatGPT,I do not use this form of AI,Yes,Hybrid,Empath,,,,,,
5/8/2026 12:56:06,"Homework, Emotional Support",10,2,2,4,2,3,2,4,2,3,3,25-34,Female,Employed (Part-time),2,ChatGPT,"Ex. Meta AI (Instagram, WhatsApp, Facebook), Grok (Twitter/X), or Snapchat My AI",Yes,Hybrid,Skeptic,,,,,,
5/8/2026 13:51:52,Homework,10,3,2,3,2,2,1,1,1,2,1,18-24,Female,Student (Undergraduate),5,"ChatGPT, Perplexity, Deepseek",I do not use this form of AI,Yes,Work,Skeptic,,,,,,
5/8/2026 14:32:50,"Study Help, Coding, General Knowledge",10,2,2,2,1,1,4,1,4,4,1,18-24,Female,"Student (Graduate/Post-grad), Employed (Full-time)",4,"ChatGPT, Perplexity",I do not use this form of AI,Yes,Work,Sole-Tool,,,,,,
5/8/2026 16:27:38,,,,,,,,,,,,,18-24,Non-binary,Student (Undergraduate),4,,,No,Non-AI User,Non-AI user,,,,,,
